United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
St. Charles,85926,37980,123906
St. Clair,2303,980,3283
St. Francois,10643,4943,15586
St. Louis,205891,99490,305381
St. Louis City,48641,23004,71645
Ste. Genevieve,3598,1832,5430
Stoddard,5776,1747,7523
Stone,9446,2344,11790
Sullivan,1043,477,1520
Taney,12142,3153,15295
Texas,5491,1680,7171
Vernon,4352,1277,5629
Warren,7253,3791,11044
Washington,3900,2064,5964
Wayne,2557,886,3443
Webster,9424,3130,12554
Worth,483,249,732
Wright,3776,1687,5463
Total,1239950,525084,1765034
"Nonpartisan JudgeMissouri Court of Appeals, Eastern DistrictKelly C. Broniec",YES,NO,Total
Audrain,4641,1667,6308
Cape Girardeau,17822,5599,23421
Clark,1445,554,1999
Franklin,21280,9688,30968
Gasconade,3104,1644,4748
Jefferson,43310,22809,66119
Knox,738,303,1041
Lewis,2176,557,2733
Lincoln,11439,5793,17232
Madison,2249,962,3211
Marion,5594,1670,7264
Monroe,1947,673,2620
Montgomery,2808,925,3733
Osage,3068,1653,4721
Perry,3807,1259,5066
Pike,2991,1393,4384
Ralls,2459,884,3343
Scotland,794,268,1062
Shelby,1293,551,1844
St. Charles,85500,37084,122584
St. Francois,10752,4797,15549
St. Louis,195851,104233,300084
St. Louis City,44642,25568,70210
Ste. Genevieve,3570,1810,5380
Warren,7357,3682,11039
Washington,3941,2021,5962
Total,484578,238047,722625
"Nonpartisan JudgeMissouri Court of Appeals, Eastern DistrictThomas C. Clark, II",YES,NO,Total
Audrain,4522,1671,6193
Cape Girardeau,17573,5713,23286
Clark,1440,555,1995
Franklin,20987,9766,30753
Gasconade,3080,1641,4721
Jefferson,42161,23477,65638
Knox,744,289,1033
Lewis,2147,576,2723
Lincoln,11369,5825,17194
Madison,2200,998,3198
Marion,5540,1669,7209
Monroe,1910,681,2591
Montgomery,2443,1072,3515
Osage,3072,1640,4712
Perry,3756,1242,4998
Pike,2931,1413,4344
Ralls,2441,860,3301
Scotland,776,276,1052
Shelby,1261,567,1828
St. Charles,82701,39154,121855
St. Francois,10555,4790,15345
St. Louis,188860,109852,298712
St. Louis City,43543,26681,70224
Ste. Genevieve,3444,1846,5290
Warren,7186,3754,10940
Washington,3872,2051,5923
Total,470514,248059,718573
"Nonpartisan JudgeMissouri Court of Appeals, Eastern DistrictMichael E. Gardner",YES,NO,Total
Audrain,4502,1683,6185
Cape Girardeau,18362,5325,23687
Clark,1454,534,1988
Franklin,20881,9701,30582
Gasconade,3106,1609,4715
Jefferson,42356,23394,65750
Knox,748,283,1031
Lewis,2168,550,2718
Lincoln,11362,5827,17189
Madison,2234,964,3198
Marion,5560,1653,7213
Monroe,1931,662,2593
Montgomery,2436,1080,3516
Osage,3089,1616,4705
Perry,3858,1199,5057
Pike,2956,1389,4345
Ralls,2458,873,3331
Scotland,779,273,1052
Shelby,1286,548,1834
St. Charles,83062,39094,122156
St. Francois,10610,4759,15369
St. Louis,187579,111078,298657
St. Louis City,43292,26902,70194
Ste. Genevieve,3536,1811,5347
Warren,7164,3771,10935
Washington,3905,1998,5903
Total,470674,248576,719250
"Nonpartisan JudgeMissouri Court of Appeals, Eastern DistrictJohn P. Torbitzky",YES,NO,Total
Audrain,4397,1810,6207
Cape Girardeau,17444,5882,23326
Clark,1403,591,1994
Franklin,20507,10050,30557
Gasconade,3057,1669,4726
Jefferson,41706,23778,65484
Knox,720,317,1037
Lewis,2134,591,2725
Lincoln,11162,6007,17169
Madison,2184,1028,3212
Marion,5482,1748,7230
Monroe,1888,714,2602
Montgomery,2389,1126,3515
Osage,3041,1676,4717
Perry,3689,1348,5037
Pike,2896,1434,4330
Ralls,2402,922,3324
Scotland,753,300,1053
Shelby,1247,586,1833
St. Charles,82554,39406,121960
St. Francois,10477,4994,15471
St. Louis,183681,113038,296719
St. Louis City,41878,27988,69866
Ste. Genevieve,3385,1949,5334
Warren,7105,3841,10946
Washington,3858,2103,5961
Total,461439,254896,716335
"Nonpartisan JudgeMissouri Court of Appeals, Southern DistrictDon Burrell",YES,NO,Total
Barry,7817,1898,9715
Barton,2955,813,3768
Bollinger,2818,804,3622
Butler,7110,3049,10159
Camden,11732,4118,15850
Carter,943,571,1514
Cedar,3483,1023,4506
Christian,23583,5533,29116
Crawford,4169,2421,6590
Dade,2076,549,2625
Dallas,4070,1104,5174
Dent,3055,1242,4297
Douglas,3347,938,4285
Dunklin,4344,1029,5373
Greene,63389,21438,84827
Hickory,2297,869,3166
Howell,9164,2374,11538
Iron,1763,769,2532
Jasper,22047,8571,30618
Laclede,8478,2269,10747
Lawrence,8987,2057,11044
Maries,1948,986,2934
McDonald,3775,1553,5328
Mississippi,1974,581,2555
New Madrid,2772,904,3676
Newton,12751,4851,17602
Oregon,1916,589,2505
Ozark,2377,698,3075
Pemiscot,1776,867,2643
Phelps,8293,3475,11768
"Nonpartisan JudgeMissouri Court of Appeals, Southern DistrictDon Burrell",YES,NO,Total
Polk,6951,2425,9376
Pulaski,6406,1811,8217
Reynolds,1317,539,1856
Ripley,2349,778,3127
Scott,8056,2172,10228
Shannon,1622,741,2363
St. Clair,2348,942,3290
Stoddard,5859,1649,7508
Stone,9774,2088,11862
Taney,12428,2896,15324
Texas,5659,1514,7173
Wayne,2573,845,3418
Webster,9812,2797,12609
Wright,3919,1544,5463
Total,314282,100684,414966
"Nonpartisan JudgeMissouri Court of Appeals, Southern DistrictJack Goodman",YES,NO,Total
Barry,8289,1710,9999
Barton,2962,811,3773
Bollinger,2823,798,3621
Butler,7251,2930,10181
Camden,11943,3924,15867
Carter,956,568,1524
Cedar,3489,1012,4501
Christian,23532,5534,29066
Crawford,4220,2369,6589
Dade,2083,545,2628
Dallas,4103,1072,5175
Dent,3073,1219,4292
Douglas,3357,913,4270
Dunklin,4371,998,5369
Greene,62247,21820,84067
Hickory,2314,845,3159
Howell,9210,2321,11531
Iron,1782,758,2540
Jasper,22224,8472,30696
Laclede,8448,2238,10686
Lawrence,9802,1715,11517
Maries,1965,979,2944
McDonald,3916,1464,5380
Mississippi,2000,546,2546
New Madrid,2808,860,3668
Newton,13033,4648,17681
Oregon,1923,576,2499
Ozark,2393,686,3079
Pemiscot,1795,852,2647
Phelps,8311,3467,11778
"Nonpartisan JudgeMissouri Court of Appeals, Southern DistrictJack Goodman",YES,NO,Total
Polk,6972,2405,9377
Pulaski,6448,1777,8225
Reynolds,1342,520,1862
Ripley,2376,747,3123
Scott,8085,2139,10224
Shannon,1642,725,2367
St. Clair,2349,902,3251
Stoddard,5928,1573,7501
Stone,9906,2039,11945
Taney,12567,2794,15361
Texas,5691,1482,7173
Wayne,2594,832,3426
Webster,9824,2754,12578
Wright,3944,1519,5463
Total,316291,98858,415149
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictAlok Ahuja",YES,NO,Total
Adair,3616,2066,5682
Andrew,4061,1683,5744
Atchison,1199,418,1617
Bates,3004,1981,4985
Benton,4524,2249,6773
Boone,36087,12200,48287
Buchanan,15131,6137,21268
Caldwell,1773,1172,2945
Callaway,8864,3970,12834
Carroll,1810,1125,2935
Cass,22822,11517,34339
Chariton,1470,853,2323
Clay,48883,28212,77095
Clinton,4181,2372,6553
Cole,17476,7375,24851
Cooper,3835,1599,5434
Daviess,1490,835,2325
De Kalb,1947,1009,2956
Gentry,1331,675,2006
Grundy,1703,1132,2835
Harrison,1377,921,2298
Henry,4172,2397,6569
Holt,969,455,1424
Howard,2154,994,3148
Jackson,71700,39471,111171
Johnson,9728,4292,14020
Kansas City,56545,19678,76223
Lafayette,6817,3840,10657
Linn,2319,1219,3538
Livingston,2716,1409,4125
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictAlok Ahuja",YES,NO,Total
Macon,3379,1547,4926
Mercer,622,458,1080
Miller,4856,2583,7439
Moniteau,2970,1414,4384
Morgan,3793,2008,5801
Nodaway,4184,1912,6096
Pettis,7906,3725,11631
Platte,24642,11290,35932
Putnam,952,436,1388
Randolph,4327,2165,6492
Ray,4245,2675,6920
Saline,3284,2056,5340
Schuyler,692,527,1219
Sullivan,877,627,1504
Vernon,3622,1967,5589
Worth,423,308,731
Total,414478,198954,613432
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictKaren King Mitchell",YES,NO,Total
Adair,3540,2097,5637
Andrew,4184,1528,5712
Atchison,1267,342,1609
Bates,3188,1740,4928
Benton,4800,1898,6698
Boone,35132,12762,47894
Buchanan,15499,5613,21112
Caldwell,1871,1045,2916
Callaway,9309,3474,12783
Carroll,1950,973,2923
Cass,22503,11540,34043
Chariton,1529,769,2298
Clay,46889,29788,76677
Clinton,4309,2169,6478
Cole,17960,6808,24768
Cooper,4087,1340,5427
Daviess,1572,722,2294
De Kalb,2070,858,2928
Gentry,1442,533,1975
Grundy,1810,998,2808
Harrison,1522,759,2281
Henry,4372,2164,6536
Holt,963,451,1414
Howard,2245,864,3109
Jackson,66692,44064,110756
Johnson,10116,3876,13992
Kansas City,54167,21435,75602
Lafayette,6972,3656,10628
Linn,2399,1082,3481
Livingston,2862,1265,4127
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictKaren King Mitchell",YES,NO,Total
Macon,3173,1745,4918
Mercer,686,389,1075
Miller,5279,2132,7411
Moniteau,3161,1181,4342
Morgan,4065,1696,5761
Nodaway,4430,1659,6089
Pettis,8227,3395,11622
Platte,24166,11534,35700
Putnam,973,394,1367
Randolph,4525,1915,6440
Ray,4368,2505,6873
Saline,3487,1820,5307
Schuyler,755,442,1197
Sullivan,955,541,1496
Vernon,3879,1704,5583
Worth,456,273,729
Total,409806,199938,609744
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictMark D. Pfeiffer",YES,NO,Total
Adair,3505,2143,5648
Andrew,4218,1510,5728
Atchison,1282,326,1608
Bates,3169,1748,4917
Benton,4856,1884,6740
Boone,33948,14046,47994
Buchanan,15404,5738,21142
Caldwell,1870,1037,2907
Callaway,9250,3465,12715
Carroll,1982,937,2919
Cass,22369,11746,34115
Chariton,1552,743,2295
Clay,44496,31708,76204
Clinton,4337,2151,6488
Cole,17881,6833,24714
Cooper,4128,1300,5428
Daviess,1579,729,2308
De Kalb,2082,850,2932
Gentry,1465,506,1971
Grundy,1810,1017,2827
Harrison,1526,756,2282
Henry,4324,2199,6523
Holt,997,413,1410
Howard,2264,847,3111
Jackson,60566,49496,110062
Johnson,10117,3883,14000
Kansas City,47566,27760,75326
Lafayette,6961,3673,10634
Linn,2404,1094,3498
Livingston,2865,1255,4120
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictMark D. Pfeiffer",YES,NO,Total
Macon,3196,1706,4902
Mercer,705,375,1080
Miller,5331,2059,7390
Moniteau,3177,1158,4335
Morgan,4061,1691,5752
Nodaway,4485,1609,6094
Pettis,8188,3372,11560
Platte,23270,12225,35495
Putnam,1056,320,1376
Randolph,4576,1895,6471
Ray,4410,2451,6861
Saline,3484,1832,5316
Schuyler,755,442,1197
Sullivan,972,520,1492
Vernon,3904,1681,5585
Worth,471,257,728
Total,392814,215386,608200
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictDoug Thomson",YES,NO,Total
Adair,3771,1834,5605
Andrew,4416,1324,5740
Atchison,1372,259,1631
Bates,3368,1585,4953
Benton,4970,1771,6741
Boone,33413,13968,47381
Buchanan,15840,5338,21178
Caldwell,2013,923,2936
Callaway,9456,3220,12676
Carroll,2043,889,2932
Cass,23720,10427,34147
Chariton,1639,669,2308
Clay,47868,28367,76235
Clinton,4554,1964,6518
Cole,18397,6335,24732
Cooper,4168,1264,5432
Daviess,1675,651,2326
De Kalb,2196,753,2949
Gentry,1526,486,2012
Grundy,1930,880,2810
Harrison,1599,693,2292
Henry,4577,1969,6546
Holt,1146,284,1430
Howard,2301,831,3132
Jackson,68854,40985,109839
Johnson,10464,3455,13919
Kansas City,48537,26620,75157
Lafayette,7237,3412,10649
Linn,2567,951,3518
Livingston,2968,1160,4128
"Nonpartisan JudgeMissouri Court of Appeals, Western DistrictDoug Thomson",YES,NO,Total
Macon,3720,1196,4916
Mercer,716,365,1081
Miller,5450,1961,7411
Moniteau,3279,1083,4362
Morgan,4226,1541,5767
Nodaway,5206,1206,6412
Pettis,8394,3127,11521
Platte,23817,11286,35103
Putnam,1063,317,1380
Randolph,4739,1742,6481
Ray,4688,2213,6901
Saline,3608,1702,5310
Schuyler,774,418,1192
Sullivan,1016,466,1482
Vernon,4344,1245,5589
Worth,509,230,739
Total,414134,193365,607499
"Nonpartisan JudgeCircuit Judge - Circuit 6 Division 1Thomas C. Fincham",YES,NO,Total
Platte,23751,11742,35493
Total,23751,11742,35493
"Nonpartisan JudgeCircuit Judge - Circuit 6 Division 2Ann Hansbrough",YES,NO,Total
Platte,25195,10428,35623
Total,25195,10428,35623
"Nonpartisan JudgeCircuit Judge - Circuit 7 Division 1Shane T. Alexander",YES,NO,Total
Clay,49070,27300,76370
Total,49070,27300,76370
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 1Sarah A. Castle",YES,NO,Total
Jackson,73774,36120,109894
Kansas City,55567,19880,75447
Total,129341,56000,185341
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 3Jerri J. Zhang",YES,NO,Total
Jackson,67224,42055,109279
Kansas City,54299,20931,75230
Total,121523,62986,184509
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 6J. Dale Youngs",YES,NO,Total
Jackson,60129,48702,108831
Kansas City,48582,26406,74988
Total,108711,75108,183819
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 7S. Margene Burnett",YES,NO,Total
Jackson,64843,44274,109117
Kansas City,51397,23713,75110
Total,116240,67987,184227
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 8Bryan E. Round",YES,NO,Total
Jackson,61255,47545,108800
Kansas City,48053,26740,74793
Total,109308,74285,183593
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 9Joel P. Fahnestock",YES,NO,Total
Jackson,61657,46703,108360
Kansas City,49840,24890,74730
Total,111497,71593,183090
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 11Adam Caine",YES,NO,Total
Jackson,67856,40427,108283
Kansas City,48854,25758,74612
Total,116710,66185,182895
"Nonpartisan JudgeCircuit Judge - Circuit 16 Division 12Jennifer M. Phillips",YES,NO,Total
Jackson,63669,44338,108007
Kansas City,52077,22878,74955
Total,115746,67216,182962
"Nonpartisan JudgeCircuit Judge - Circuit 21 Division 10Jason D. Dodson",YES,NO,Total
St. Louis,187059,109424,296483
Total,187059,109424,296483
"Nonpartisan JudgeCircuit Judge - Circuit 21 Division 11Ellen Sue Levy",YES,NO,Total
St. Louis,196813,99704,296517
Total,196813,99704,296517
"Nonpartisan JudgeCircuit Judge - Circuit 21 Division 15Bill Corrigan",YES,NO,Total
St. Louis,185163,110151,295314
Total,185163,110151,295314
"Nonpartisan JudgeCircuit Judge - Circuit 21 Division 19Thomas C. Albus",YES,NO,Total
St. Louis,184754,110098,294852
Total,184754,110098,294852
"Nonpartisan JudgeCircuit Judge - Circuit 22 Division 11Bryan L. Hettenbach",YES,NO,Total
St. Louis City,42740,26443,69183
Total,42740,26443,69183
"Nonpartisan JudgeCircuit Judge - Circuit 22 Division 12Michael K. Mullen",YES,NO,Total
St. Louis City,44287,25241,69528
Total,44287,25241,69528
"Nonpartisan JudgeCircuit Judge - Circuit 22 Division 14John T. Bird",YES,NO,Total
St. Louis City,41817,26854,68671
Total,41817,26854,68671
"Nonpartisan JudgeCircuit Judge - Circuit 22 Division 17David C. Mason",YES,NO,Total
St. Louis City,44003,25552,69555
Total,44003,25552,69555
"Nonpartisan JudgeCircuit Judge - Circuit 22 Division 19Christopher E. McGraugh",YES,NO,Total
St. Louis City,43547,25402,68949
Total,43547,25402,68949
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 6 Division 4Megan Blair Benton",YES,NO,Total
Platte,25298,10261,35559
Total,25298,10261,35559
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 7 Division 6Karen Lee Krauser",YES,NO,Total
Clay,48978,27490,76468
Total,48978,27490,76468
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 25Jessica Agnelly Krawczyk",YES,NO,Total
Jackson,71053,36838,107891
Kansas City,54965,20112,75077
Total,126018,56950,182968
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 26R. Travis Willingham",YES,NO,Total
Jackson,66791,40424,107215
Kansas City,48812,25389,74201
Total,115603,65813,181416
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 27Kea S. Bird-Riley",YES,NO,Total
Jackson,66666,40848,107514
Kansas City,54463,20032,74495
Total,121129,60880,182009
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 30Twila Kay Rigby",YES,NO,Total
Jackson,62407,45567,107974
Kansas City,51743,22597,74340
Total,114150,68164,182314
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 31Mary Frances Weir",YES,NO,Total
Jackson,62845,44875,107720
Kansas City,53525,20914,74439
Total,116370,65789,182159
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 33Jeffrey L. Bushur",YES,NO,Total
Jackson,60552,46820,107372
Kansas City,47468,26517,73985
Total,108020,73337,181357
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 16 Division 34Susan Long",YES,NO,Total
Jackson,63985,43735,107720
Kansas City,53402,20815,74217
Total,117387,64550,181937
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 32Julia Pusateri Lasater",YES,NO,Total
St. Louis,194501,101386,295887
Total,194501,101386,295887
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 34Amanda B. McNelley",YES,NO,Total
St. Louis,198130,96263,294393
Total,198130,96263,294393
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 36Joseph Green",YES,NO,Total
St. Louis,177721,116151,293872
Total,177721,116151,293872
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 37Jeffrey P. Medler",YES,NO,Total
St. Louis,183651,110093,293744
Total,183651,110093,293744
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 38John (JB) Lasater",YES,NO,Total
St. Louis,180971,113584,294555
Total,180971,113584,294555
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 39Ellen W. Dunne",YES,NO,Total
St. Louis,193386,103111,296497
Total,193386,103111,296497
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 21 Division 43Mondonna L. Ghasedi",YES,NO,Total
St. Louis,182768,114146,296914
Total,182768,114146,296914
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 22 Division 30Barbara Tina Peebles",YES,NO,Total
St. Louis City,46466,23211,69677
Total,46466,23211,69677
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 31 Division 22Margaret Palmietto",YES,NO,Total
Greene,60155,24392,84547
Total,60155,24392,84547
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 31 Division 24Mark A. Powell",YES,NO,Total
Greene,60981,23935,84916
Total,60981,23935,84916
"Nonpartisan JudgeAssociate Circuit Judge - Circuit 31 Division 25T. Todd Myers",YES,NO,Total
Greene,61804,21654,83458
Total,61804,21654,83458
"Constitutional AmendmentAmendment 1",YES,NO,Total
Adair,2647,4033,6680
Andrew,2975,3413,6388
Atchison,846,954,1800
Audrain,2920,4162,7082
Barry,4226,6331,10557
Barton,2042,2135,4177
Bates,2105,3345,5450
Benton,3161,4281,7442
Bollinger,1570,2384,3954
Boone,27033,31322,58355
Buchanan,11012,12309,23321
Butler,4111,6802,10913
Caldwell,1287,1982,3269
Callaway,6099,8176,14275
Camden,7828,9570,17398
Cape Girardeau,13049,13358,26407
Carroll,1365,1848,3213
Carter,497,1249,1746
Cass,17258,20600,37858
Cedar,1803,3028,4831
Chariton,1024,1630,2654
Christian,14207,17766,31973
Clark,929,1311,2240
Clay,39058,44906,83964
Clinton,3052,4141,7193
Cole,12237,15113,27350
Cooper,2433,3413,5846
Crawford,2470,4788,7258
Dade,1179,1685,2864
Dallas,2008,3525,5533
Daviess,1098,1467,2565
"Constitutional AmendmentAmendment 1",YES,NO,Total
De Kalb,1301,1938,3239
Dent,1786,2931,4717
Douglas,1663,3071,4734
Dunklin,2448,3393,5841
Franklin,15980,19058,35038
Gasconade,1976,3410,5386
Gentry,946,1262,2208
Greene,39972,53913,93885
Grundy,1208,1870,3078
Harrison,1111,1444,2555
Henry,3055,4166,7221
Hickory,1174,2333,3507
Holt,720,875,1595
Howard,1423,2215,3638
Howell,4765,7806,12571
Iron,977,1869,2846
Jackson,61686,62606,124292
Jasper,14493,18878,33371
Jefferson,32675,42090,74765
Johnson,6908,8122,15030
Kansas City,37573,45295,82868
Knox,454,808,1262
Laclede,4325,6710,11035
Lafayette,5006,6526,11532
Lawrence,4968,7009,11977
Lewis,1261,1751,3012
Lincoln,8306,10497,18803
Linn,1687,2231,3918
Livingston,1824,2690,4514
Macon,2444,2888,5332
Madison,1234,2290,3524
"Constitutional AmendmentAmendment 1",YES,NO,Total
Maries,1114,2188,3302
Marion,3835,4381,8216
McDonald,2248,3536,5784
Mercer,428,778,1206
Miller,3316,5024,8340
Mississippi,1171,1565,2736
Moniteau,1838,2984,4822
Monroe,1202,1793,2995
Montgomery,1479,2392,3871
Morgan,2511,4068,6579
New Madrid,1587,2486,4073
Newton,8058,11135,19193
Nodaway,2967,3756,6723
Oregon,914,1937,2851
Osage,1996,3271,5267
Ozark,1564,1939,3503
Pemiscot,1225,1726,2951
Perry,2451,3339,5790
Pettis,5464,7107,12571
Phelps,5493,7473,12966
Pike,1897,3009,4906
Platte,20347,18942,39289
Polk,4084,6023,10107
Pulaski,3697,5252,8949
Putnam,682,884,1566
Ralls,1519,2262,3781
Randolph,2945,4216,7161
Ray,3039,4552,7591
Reynolds,743,1422,2165
Ripley,1225,2281,3506
Saline,2436,3569,6005
"Constitutional AmendmentAmendment 1",YES,NO,Total
Schuyler,487,935,1422
Scotland,538,723,1261
Scott,5108,5950,11058
Shannon,763,1960,2723
Shelby,912,1234,2146
St. Charles,72504,68756,141260
St. Clair,1382,2151,3533
St. Francois,7029,10220,17249
St. Louis,177999,171014,349013
St. Louis City,35884,43276,79160
Ste. Genevieve,2396,3716,6112
Stoddard,3051,5070,8121
Stone,5866,7205,13071
Sullivan,558,1040,1598
Taney,7395,9377,16772
Texas,2803,5084,7887
Vernon,2303,3569,5872
Warren,5188,7200,12388
Washington,2288,4279,6567
Wayne,1432,2384,3816
Webster,5471,8165,13636
Worth,335,478,813
Wright,2234,3725,5959
Total,896279,1065773,1962052
"Constitutional AmendmentAmendment 3",YES,NO,Total
Adair,2984,4066,7050
Andrew,2850,3845,6695
Atchison,769,1136,1905
Audrain,3078,4346,7424
Barry,4017,6947,10964
Barton,1232,3077,4309
Bates,2578,3190,5768
Benton,3450,4280,7730
Bollinger,1467,2643,4110
Boone,39099,23621,62720
Buchanan,12635,11923,24558
Butler,4694,6662,11356
Caldwell,1567,1843,3410
Callaway,7056,7887,14943
Camden,8669,9591,18260
Cape Girardeau,12173,15543,27716
Carroll,1253,2072,3325
Carter,736,1133,1869
Cass,21331,18383,39714
Cedar,1957,3162,5119
Chariton,953,1825,2778
Christian,14056,19154,33210
Clark,1023,1306,2329
Clay,53531,33697,87228
Clinton,3671,3840,7511
Cole,12503,15952,28455
Cooper,2605,3499,6104
Crawford,3091,4460,7551
Dade,1047,1945,2992
Dallas,2339,3418,5757
Daviess,1081,1604,2685
"Constitutional AmendmentAmendment 3",YES,NO,Total
De Kalb,1310,2048,3358
Dent,1697,3280,4977
Douglas,1624,3396,5020
Dunklin,2752,3411,6163
Franklin,16015,20907,36922
Gasconade,1972,3682,5654
Gentry,844,1463,2307
Greene,51342,46419,97761
Grundy,1149,2056,3205
Harrison,867,1814,2681
Henry,3399,4149,7548
Hickory,1635,2036,3671
Holt,591,1073,1664
Howard,1765,2066,3831
Howell,5076,8149,13225
Iron,1356,1675,3031
Jackson,79122,51084,130206
Jasper,14227,20397,34624
Jefferson,43183,35945,79128
Johnson,8123,7529,15652
Kansas City,66748,18948,85696
Knox,481,892,1373
Laclede,4316,7014,11330
Lafayette,5784,6168,11952
Lawrence,4571,7922,12493
Lewis,1289,1862,3151
Lincoln,9610,10119,19729
Linn,1663,2466,4129
Livingston,1969,2764,4733
Macon,1813,3740,5553
Madison,1537,2134,3671
"Constitutional AmendmentAmendment 3",YES,NO,Total
Maries,1186,2238,3424
Marion,3755,4894,8649
McDonald,2560,3486,6046
Mercer,428,828,1256
Miller,3412,5300,8712
Mississippi,1322,1545,2867
Moniteau,1819,3273,5092
Monroe,1235,1920,3155
Montgomery,1581,2468,4049
Morgan,3127,3788,6915
New Madrid,2016,2330,4346
Newton,7347,12492,19839
Nodaway,2688,4335,7023
Oregon,1186,1866,3052
Osage,1691,3811,5502
Ozark,1456,2219,3675
Pemiscot,1427,1711,3138
Perry,2466,3769,6235
Pettis,5709,7428,13137
Phelps,5771,7736,13507
Pike,2077,3058,5135
Platte,25520,15405,40925
Polk,4196,6303,10499
Pulaski,4061,5241,9302
Putnam,609,1086,1695
Ralls,1648,2310,3958
Randolph,3004,4445,7449
Ray,4102,3820,7922
Reynolds,1023,1346,2369
Ripley,1504,2197,3701
Saline,2826,3419,6245
"Constitutional AmendmentAmendment 3",YES,NO,Total
Schuyler,554,959,1513
Scotland,492,859,1351
Scott,4971,6529,11500
Shannon,1093,1793,2886
Shelby,701,1584,2285
St. Charles,82448,67388,149836
St. Clair,1634,2049,3683
St. Francois,9153,8962,18115
St. Louis,215896,150147,366043
St. Louis City,61096,22521,83617
Ste. Genevieve,2891,3692,6583
Stoddard,3280,5236,8516
Stone,5695,8018,13713
Sullivan,586,1129,1715
Taney,7320,10336,17656
Texas,2929,5296,8225
Vernon,2553,3560,6113
Warren,6113,6974,13087
Washington,3339,3586,6925
Wayne,1677,2341,4018
Webster,5752,8451,14203
Worth,302,546,848
Wright,1880,4339,6219
Total,1092432,965020,2057452
"Constitutional AmendmentAmendment 4",YES,NO,Total
Adair,4090,2733,6823
Andrew,4789,1783,6572
Atchison,1284,565,1849
Audrain,4733,2510,7243
Barry,6552,4023,10575
Barton,2889,1329,4218
Bates,3897,1702,5599
Benton,5385,2197,7582
Bollinger,2534,1490,4024
Boone,33011,27301,60312
Buchanan,17213,6957,24170
Butler,7161,3923,11084
Caldwell,2285,1048,3333
Callaway,9579,4955,14534
Camden,11945,5900,17845
Cape Girardeau,17941,9127,27068
Carroll,2167,1082,3249
Carter,989,810,1799
Cass,27199,11795,38994
Cedar,3203,1706,4909
Chariton,1706,995,2701
Christian,20298,11935,32233
Clark,1450,802,2252
Clay,55743,30322,86065
Clinton,5187,2187,7374
Cole,17660,9977,27637
Cooper,3840,2134,5974
Crawford,4490,2846,7336
Dade,1880,1037,2917
Dallas,3515,2040,5555
Daviess,1812,799,2611
"Constitutional AmendmentAmendment 4",YES,NO,Total
De Kalb,2216,1105,3321
Dent,2855,1963,4818
Douglas,2842,1975,4817
Dunklin,4045,1966,6011
Franklin,24101,11698,35799
Gasconade,3200,2255,5455
Gentry,1579,672,2251
Greene,61055,34671,95726
Grundy,2060,1062,3122
Harrison,1842,768,2610
Henry,5117,2157,7274
Hickory,2220,1320,3540
Holt,1164,461,1625
Howard,2124,1582,3706
Howell,8276,4551,12827
Iron,1873,1057,2930
Jackson,83905,44438,128343
Jasper,22528,11352,33880
Jefferson,53006,23650,76656
Johnson,10526,4856,15382
Kansas City,32684,52126,84810
Knox,788,502,1290
Laclede,7195,3953,11148
Lafayette,8049,3688,11737
Lawrence,7717,4477,12194
